Books,Author,Date,
Invisible , James Patterson and David Ellis ," July 13, 2014",
Invitation to the Waltz , Rosamond Lehmann ," November 14, 1932",
Isle of Dogs , Patricia Cornwell ," October 28, 2001",
It , Stephen King ," September 14, 1986",
It Can't Happen Here , Sinclair Lewis ," November 4, 1935",
Jailbird , Kurt Vonnegut ," October 7, 1979",
Jewels , Danielle Steel ," May 17, 1992",
Johnny Angel , Danielle Steel ," July 20, 2003",
Jonathan Livingston Seagull , Richard Bach ," July 2, 1972",
Journey Through Heartsongs , Mattie J. T. Stepanek ," February 3, 2002",
Joy Street , Francis Parkinson Keyes ," January 14, 1951",
Jubal Sackett , Louis L'Amour ," June 2, 1985",
Judge & Jury , James Patterson and Andrew Gross ," August 20, 2006",
Juror #3 , James Patterson and Nancy Allen ," September 30, 2018",
Just Take My Heart , Mary Higgins Clark ," May 3, 2009",
Kaleidoscope , Danielle Steel ," October 25, 1987",
Kill Alex Cross , James Patterson ," December 4, 2011",
Kill Me If You Can , James Patterson and Marshall Karp ," September 18, 2011",
Kill Shot , Vince Flynn ," February 26, 2012",
Kingdom of the Blind , Louise Penny ," December 16, 2018",
Kingsblood Royal , Sinclair Lewis ," July 6, 1947",
Kiss the Dead , Laurell K. Hamilton ," June 24, 2012",
Kitty Foyle , Christopher Morley ," November 20, 1939",
Knife of Dreams , Robert Jordan ," October 30, 2005",
Knockout , Catherine Coulter ," July 5, 2009",
L Is For Lawless , Sue Grafton ," September 17, 1995",
Lake Wobegon Days , Garrison Keillor ," September 15, 1985",
Lamb In His Bosom , Caroline Miller ," May 21, 1934",
Lark Ascending , Mazo De La Roche ," August 22, 1932",
Last of the Breed , Louis L'Amour ," June 22, 1986",
Lean Mean Thirteen , Janet Evanovich ," July 8, 2007",
Leap of Faith , Danielle Steel ," July 15, 2001",
Leaving Time , Jodi Picoult ," November 2, 2014",
Lethal White , Robert Galbraith ," October 7, 2018",
Leverage In Death , J.D.Robb ," September 23, 2018",
Lie Down with Lions , Ken Follett ," February 16, 1986",
Lifeguard , James Patterson and Andrew Gross ," July 31, 2005",
Lincoln In the Bardo , George Saunders ," March 5, 2017",
Lisey's Story , Stephen King ," November 12, 2006",
"Little Man, What Now? ", Hans Fallada ," June 12, 1933",
Live Wire , Harlan Coben ," April 10, 2011",
Lolita , Vladimir Nakobov ," September 28, 1958",
London Bridges , James Patterson ," November 28, 2004",
Lone Wolf , Jodi Picoult ," March 18, 2012",
Long Lost , Harlan Coben ," April 19, 2009",
Look Alive Twenty,,Five - Janet Evanovich (Putnam) ,
Looking for Mr. Goodbar , Judith Rossner ," August 3, 1975",
Lord Vanity , Samuel Shellabarger ," November 29, 1953",
Lost Horizon , James Hilton ," December 3, 1934",
Love Is Eternal , Irving Stone ," October 17, 1954",
Love Story , Erich Segal ," May 10, 1970",
Lover At Last , J.R. Ward ," April 14, 2013",
Lover Reborn , J.R. Ward ," April 15, 2012",
"Loves Music, Loves to Dance ", Mary Higgins Clark ," May 12, 1991",
Lucky , Jackie Collins ," September 1, 1985",
Lucy Gayheart , Willa Cather ," August 12, 1935",
Lydia Bailey , Kenneth Roberts ," February 2, 1947",
Magic , Danielle Steel ," July 24, 2016",
Magnolia Street , Louis Golding ," April 4, 1932",
Maid In Waiting , John Galsworthy ," November 16, 1931",
Make Me , Lee Child ," September 27, 2015",
Marjorie Morningstar , Herman Wouk ," October 2, 1955",
Mary Anne , Daphne du Maurier ," August 1, 1954",
"Mary, Mary ", James Patterson ," December 4, 2005",
Mary's Neck , Booth Tarkington ," February 15, 1932",
Master of the Game , Sidney Sheldon ," September 12, 1982",
Memnoch the Devil , Anne Rice ," July 30, 1995",
Memories of Midnight , Sidney Sheldon ," September 2, 1990",
Memory Man , David Baldacci ," May 10, 2015",
Metro Girl , Janet Evanovich ," November 21, 2004",
Midnight , Dean R. Koontz ," February 5, 1989",
Midnight Bayou , Nora Roberts ," November 4, 2001",
Misery , Stephen King ," June 7, 1987",
Missing You , Harlan Coben ," April 6, 2014",
Mississippi Blood , Greg Iles ," April 9, 2017",
Mistral's Daughter , Judith Krantz ," February 20, 1983",
Mixed Blessings , Danielle Steel ," November 22, 1992",
Moment In Peking , Lin Yutang ," December 25, 1939",
Moonlight Becomes You , Mary Higgins Clark ," April 21, 1996",
Morning Star , Pierce Brown ," February 28, 2016",
Moscow Rules , Daniel Silva ," August 10, 2008",
Mr. and Mrs. Pennington , Francis Brett Young ," January 25, 1932",
Mr. Mercedes , Stephen King ," June 22, 2014",
Mrs. Miniver , Jan Struther ," August 19, 1940",
My Cousin Rachel , Daphne du Maurier ," March 30, 1952",
My Name Is Lucy Barton , Elizabeth Strout ," January 31, 2016",
"My Son, My Son! ", Howard Spring ," July 11, 1938",
